man I mone, N
The world , N
During COV, P
In reading, P
A focused , P
Id like he, N
One grocer, N
There enou, N
If live sc, P
The busine, P
Groceries , P
As people , P
Steve Bill, P
Im annoye, N
Govaka Bor, P
We everyth, P
In light r, N
Please Sto, N
So I reach, P
For compla, P
SebDance F, N
Oregon Che, P
went super, N
Our superm, P
work fast , P
Now time s, P
Ppl facing, N
Well expec, P
Hey Be nic, P
nobodyaske, P
Irony ever, N
Going groc, P
Please Ret, P
Decided vi, N
As additio, P
In b4 newe, P
Where firs, N
Journalist, N
We went lo, P
America we, N
Want know , N
When shops, N
NEVER impo, P
In time wo, N
Sporting e, P
Grocery st, P
The news n, P
I normal g, N
Apart irre, N
No matter , N
To plebs l, N
alright co, N
How many R, P
I PTSD sur, P
I would lo, P
AWESOME Sp, N
PSA You tw, P
To read ta, P
Natomas ma, P
Charities , P
Experts sa, N
Scenes ins, P
A package , P
People cra, N
Hey MattHa, P
There trum, P
See new Fu, P
Amazon pla, P
Fred Meyer, N
one wonder, N
It seems m, N
SkyNews Bo, P
Hey everyo, N
Instead ho, P
CONSUMER A, P
cathycrawl, N
Corporate , N
mattZillaa, P
You watch , P
Trump says, P
50 OFF SIT, P
The govern, P
A coalitio, P
Now I know, P
Shops sold, N
Ive predic, P
Gas prices, N
Wiping eve, P
As stock n, P
URGENT W h, P
RE market , P
Comedy sho, P
Confirming, P
Honestly n, P
BreeNewsom, P
Control st, N
Long queue, N
Confirming, P
Hygiene He, P
Yall full , N
For people, N
We underst, P
Wish Peopl, N
Let record, N
An update , N
Its weird, P
How gone t, N
The world , N
Florida De, P
Please exp, P
The stats , N
Really wha, P
Washington, N
Question I, P
realDonald, P
LuciferTho, N
After 67 d, P
NBAPAdvice, N
Due uncert, P
Shopping g, P
Minister H, N
This wake , N
My local g, N
Who needs , P
Went groce, P
Me family , P
Nice long , P
ordered do, N
RwandaHeal, P
Seemingly , P
We closin, P
Soap actua, N
Older Lady, P
LizMalafro, N
My friend , N
BREAKING T, N
CDC urges , N
Im rude pe, N
tracybeanz, P
Coronaviru, N
PSA DONT B, P
Elderly pe, N
italy case, N
Hema got c, N
In Calgary, P
Govts bail, N
We dont k, N
Just passe, P
If conside, P
Very smart, P
Local groc, N
guatezaddy, N
Is panic l, P
If one buy, P
got know f, N
Today I wo, P
NourishNow, P
coronaviru, N
skdmodelme, P
Wed like t, P
Hey La Cro, N
Hey everyb, N
Cant find , P
This coron, N
would figh, N
Concentrix, P
Coming hom, N
WHOS PAYI, P
COVID19 ge, N
A quick tr, N
Now would , P
We believe, P
Some peopl, N
Our amazin, P
cristela9 , N
I went wor, P
Alright y, N
COVID19 sh, P
Gov advice, P
httpstcoL1, N
Mayor Lond, N
Russia bre, N
I dont usu, P
We selfiso, N
COVID19 fa, N
Which grou, N
Went super, N
I dont kn, N
Reason 37 , N
ToiletPape, N
THANK YOU , P
Not full 2, N
Me grocery, N
Still thin, P
So made gr, N
As Venezue, N
So COVID 1, N
In Switzer, P
While your, N
No need st, N
Grocers fa, P
I highly s, N
RepSusanDa, P
These peop, N
Amazon blo, N
michaeltal, N
If conside, P
Did Trump , N
Local groc, N
MorningJoe, N
Trader Joe, N
hamsters b, N
I wonder m, P
This time , P
How health, N
Who knew C, P
Were open, P
Somehow I , P
Our For1Me, P
With consu, N
Please rem, P
NYCSpeaker, P
Hackers ex, N
retail not, N
NO toiletp, N
How people, N
thought pe, N
Im sending, P
People rus, P
LouisianaG, N
Which favo, N
Everyone t, P
Our Nebras, N
Just spent, N
The Trudea, P
Im glad e, P
The FakeNe, N
People wip, N
Going groc, P
Is gay use, P
Reducing s, P
Seeing man, N
Headed gro, P
Never thou, P
DaisyFuent, P
At grocery, N
To paraphr, N
HoarseWisp, P
STOP attac, N
DONT FORGE, P
People fre, P
stocking f, P
At FoodBan, P
Is hashtag, P
Im grocer, N
REMEMBER Y, P
This onlin, P
We cant re, N
logicsayz , P
Dear folks, P
Time buy m, P
In chaos g, N
My COVID19, P
If coming , P
Get concis, P
Went super, P
IMPORTANT , P
dangerous , N
Israeli po, N
COVID Flu , N
Covid19 In, N
Im grocery, P
Heres nove, N
Are busine, P
With cance, P
The reason, N
Well folks, P
As COVID19, N
So January, P
Once super, N
Just thoug, N
My local I, N
I hate sho, N
We bought , N
Government, P
The Corona, N
To every u, N
trishregan, N
I walked s, P
I disturbe, N
Day 3 quar, N
I sent mom, P
Im still t, N
M2Madness , N
Every shop, N
Responding, N
All boomer, P
Check I fo, P
Video conf, P
Well My li, N
Supermarke, N
Scammers t, P
How Google, N
Small town, P
LOOK ON TH, P
Avoid long, P
Some onlin, P
A tale two, P
So instead, P
As stock h, P
Scott Morr, N
Today I pi, P
Social iso, N
Thank god , P
I swung gr, P
Worldwide , P
Just went , N
He place y, N
By increas, N
Are still , P
Judging su, P
Tesco Ocad, N
Weve lied , P
Does covid, P
These Comm, P
I work sma, P
Retail gia, N
Trump said, P
Demand foo, N
Retailers , N
My plan co, P
I grocery , N
MODERN SHI, P
NJ Shoprit, N
If every r, N
Mayor Inda, N
Look oppre, P
Folks see , P
Wifey went, N
Had elderl, N
Nonna want, P
Teachers L, P
For cashlo, P
Fill fridg, P
jhall kara, P
Calling AL, N
Globalwebi, P
In Tesco d, N
Its unacc, N
Locust swa, N
They cant, P
Amid prais, P
Worried co, P
Gas prices, N
As current, N
Democrats , N
Spiking pr, N
good job e, P
Strange mo, N
In light c, P
Local medi, N
Check I fo, P
Just phone, P
Bleedin sh, P
Officials , P
This not t, N
Walmart am, N
Because lo, N
Actors Foo, P
Empty groc, N
Did anyone, N
The new de, P
While stoc, N
A friend s, P
You know a, P
If superma, N
CONSUMER A, N
There litt, N
Pound cont, P
Are worrie, P
Saw docume, N
A supermar, P
Scenes loc, P
Im going , N
So I brave, P
j0s3fk Yes, P
While peop, P
Be nice gr, P
PicknPay F, N
Woolworths, N
Much alcoh, N
Locals sto, N
I went sho, N
Guy today , N
Target tak, P
Its hell , N
Now would , P
pls keep c, N
dubproof W, P
Ill give, P
jamiegenev, P
grocery st, N
Mintels Ma, P
4 state in, P
colemank83, P
I sure hop, P
Everybodys, P
BROOKLYN T, P
So many tw, P
I demand f, N
The pandem, P
thehill Do, P
Stores sel, N
Colombo lo, N
It would g, P
The US gov, N
Catching f, N
The new no, N
People pan, N
Prepare Co, N
Random tho, N
Sothese sh, P
BrentInGSO, P
Wonder wel, P
Items toil, N
Australian, P
People hav, P
Does every, N
theJagmeet, P
Informatio, P
Crazy line, N
Please spa, P
VERY BAD S, N
Social dis, P
This Texas, P
Studies sh, P
Clear time, P
obyrne EVA, N
When I wat, N
WATCH Cons, N
Dried past, P
Delhi witn, N
More 8000 , P
Popped loc, N
About head, N
I work sup, N
Flashbacks, N
I survived, P
My local g, N
Fun Fact I, N
Its alway, P
Everyone g, P
Ya really , P
The JECDem, P
If dont st, N
Just tried, P
Home shopp, N
I think on, P
My reactio, N
Apple Appl, P
A new wave, N
Covid19 Ha, P
Evening Al, P
realist201, N
Be respons, P
Surviving , N
Face masks, P
Apple clos, P
marwilliam, N
That grim , N
Ive gotte, P
Shopping o, P
STOP PANIC, N
We wanted , P
Coronaviru, N
NOW HIRING, N
Genuinely , P
ATTN BEER , P
OK Im read, P
Completely, N
everyone p, P
No milk to, N
Theo panic, N
If want ge, P
Well long , P
Given cons, P
In case yo, N
This littl, P
Just going, N
morethanmy, P
Please get, P
Has anyone, N
Call 202 2, N
ShopRite W, P
I live red, P
Good move , P
If youre l, P
were not , N
My kids hu, P
shame medi, N
While Soci, P
Just went , N
called twi, P
Walked loc, N
To put epi, N
Its reall, P
IMPORTANT , P
National C, P
Everyone s, N
Services h, P
Whats posi, N
Empty stor, N
Weve ques, P
Empare y3n, P
Everyone p, N
Between cu, N
Families n, N
sanfrancis, P
NYSE Nasda, P
Imagine fi, P
This Coron, N
Trumps bum, N
This great, P
supermarke, N
Realme 6 P, P
SaudiArabi, N
I really w, P
If healthy, N
Malaysia c, N
realDonald, N
Lol funny , P
Your local, P
If youre , P
When dont , P
The clowns, P
It time ge, N
Dear Stock, N
The Nether, N
In CNBCTV1, N
What ever , P
It unwarra, N
Amazon say, P
Government, N
Latest Ado, P
People I n, P
I hear onl, P
newtgingri, P
PokemonGoA, N
Can imagin, N
Cmon guys , P
thehill Am, N
vegan coro, P
For god sa, N
How corona, N
The people, N
Please don, P
Mf governm, P
Weve seen , P
GOPChairwo, N
Celestial , P
Today groc, P
Target Wal, P
Sadly true, N
Experience, P
amp commun, P
QuintonLuc, N
COVID19 pr, N
Just heads, P
This isnt, N
coronaviru, P
dennissays, P
My biggest, N
Hooray Woo, P
COVID19 co, N
People und, N
Now time n, P
Panicky ma, P
For worrie, P
All Americ, N
First time, P
darrengrim, P
If 1000000, N
I dont un, P
RexallDrug, P
Forgot toi, P
So wealthy, P
I lung dis, N
Food bank , P
I think co, P
People Fac, N
No HandSan, P
COVID 19 p, N
Stores rav, N
When freak, P
When order, P
Working gr, N
Thats week, N
The fact I, N
All bookst, P
At crucial, P
Buying foo, N
Please PLE, P
WordServic, P
If youre , N
Dear Malay, N
INCREIBLE , N
Travelzoo , N
No stream , N
Mean rever, P
It seems c, P
If budget , P
You know w, N
How things, P
Just didnt, N
Just left , P
Confirming, P
Trump offi, P
Rough week, P
kroger lar, P
FlyNorwegi, N
The Warrio, P
BREAKING P, N
Rhett800cc, P
What Preca, P
Please par, P
Stocking w, P
Coronaviru, N
More 250 p, N
PantryMeal, P
Grocery st, N
You tell e, P
I think It, N
Scenes gro, P
QUARANTINE, N
If lucky e, P
Really wor, N
Friday eve, P
Real quest, N
So I work , N
Popped loc, P
If applies, P
Hey fellow, N
Make sure, P
You dont n, P
The World , P
Get TV wan, P
When local, P
Donnie tou, N
ClancyNeil, N
Going food, N
If midst c, N
Rest assur, P
These shel, P
calebmeale, P
Just idea , P
My experie, P
ABC7 abc7e, N
COVID 19 c, N
There food, N
Please Ple, P
As someone, N
In times c, N
shit aint, N
With empty, N
My opinion, N
Call reps , N
The Walkin, P
Next deliv, P
Time globa, P
I also wou, N
So new hou, P
I went th , P
How short , P
julianborg, N
UPDATE Due, P
Covid19 co, P
The worst , N
Patel The , N
Coronaviru, N
Dont pani, P
Amazon gro, N
Im not ac, N
Can start , N
In local s, P
Its 2 hr l, N
spaceangel, N
RobJetten , N
Confirming, N
JosephFore, P
coronaviru, N
PSA Counte, N
What worry, N
6 How prev, N
The Saudi , N
sainsburys, P
jamusgit Y, P
LaurynnnG , P
Things I c, P
Listen bra, P
While onli, N
We take ca, P
SamParkerS, N
We could m, N
Twitter Fe, N
Im going g, N
Five milli, N
2020 far C, P
Ordering p, N
Smartphone, P
COVID19 Co, P
The flu de, N
Went groce, P
All retail, P
toiletpape, P
Target toi, N
List compa, P
New local , P
FoxNews MS, N
went groce, N
DONT BUY T, P
Tip Have l, N
Convenienc, N
Government, P
So were s, P
Is local g, P
This would, P
The great , P
If need St, P
I thought , N
Just thoug, P
I saw earl, P
Now 1000 , P
Get lot sl, P
Well I gue, P
During tim, P
Oh yeah su, P
Maybe peop, N
On way hom, P
Heres idea, N
Tip Pro Wr, P
Note not e, P
Scenes out, N
Whenever 2, N
Corona sal, P
In Respons, N
babu Don t, N
All Covid1, N
There need, N
oh god chi, P
I didnt t, N
The saddes, N
Coronaviru, P
Well every, N
Im not su, N
zoomus tel, N
Trump Dera, N
Check elde, P
Those rich, P
Even witho, N
While neit, P
Still love, N
FP Canada , P
If youre , N
realDonald, N
Just got m, P
Just got b, N
Retail cor, N
I never be, N
I feel stu, N
If know th, P
Stay vigil, P
If age 65 , P
The key me, P
EUConsumer, N
People ask, N
The TP sec, P
Infected g, N
All proves, N
CoronaViru, N
New Yorker, N
Imagine go, N
Coronaviru, P
For nation, N
How many p, N
Stocking s, P
COVID19 pr, N
Is Poland , N
Lets remem, N
Hopefully , P
The USDA p, N
theheralds, N
Please see, P
We need ST, P
Nattythesc, P
Working gr, P
mga adik s, P
Shoutout g, P
Tulkoff co, P
Yes I blam, N
Source UCS, N
I wish ppl, P
Just Went , P
Apocalypse, P
COVID19 pa, N
Practical , P
CBS Dallas, P
Consumers , P
Me superma, N
NATIONAL S, N
Everybody , P
I never se, N
Cant think, N
BernaMeade, N
Want get r, P
A fight br, N
Only China, P
More worri, N
Went shopp, P
Please DO , N
ShopprsDru, P
This would, N
I working , P
HEALTHY HA, P
Yo I reall, P
Every reta, P
Due fastmo, N
Please don, P
Absolutely, P
Q Should s, N
JUST IN Ou, P
A retail s, P
ParisG I c, N
Just saw m, N
Movie remi, N
Winco Fron, N
writing4po, P
It shows s, P
I usually , P
Cryptocurr, P
While busy, P
experienci, P
Hi Sir I t, P
With going, P
I got peop, N
Nothing le, P
Stop Covid, N
Guys pleas, P
If still d, P
With schoo, P
Welp I gue, P
Ugh Nothin, N
Coronaviru, P
The canned, P
A suggesti, N
SarahMorri, P
Security t, P
Small remi, P
Please RT , P
Aussie sup, P
According , P
StephenPun, N
If able go, N
At Grocery, P
This Frida, N
coronaviru, P
So I went , N
645am stan, N
Gov need s, N
Apple Stor, P
Anyone act, P
nifty50 co, P
First Covi, N
If toilet , N
Itll inter, P
coronapoca, P
Reportedly, P
I went gro, N
A lot peop, N
Nothing li, N
Serious Be, P
In USA peo, N
Its okay W, P
Sherway Ga, P
Stop buyin, N
While post, P
I featured, P
offer ride, P
Heres tho, P
Hes f For , N
Important , N
Music day , N
When told , N
Seeing emp, N
In midst C, P
I cut roll, N
All Irelan, N
Most shopp, P
If people , P
READERS gt, P
There poin, N
We created, P
Pretty goo, P
The woman , P
Did The pe, P
In covid 1, N
Went Lowes, N
concerned , P
Legit ques, N
I went cvs, N
Also dont, P
Switzerlan, P
Retail sto, P
These grea, P
Before go , N
This panel, N
I cant he, P
As valley , P
Im shoppi, N
Im really , N
Why every , P
Coronaviru, N
TrollingFo, N
Out feelin, P
So moms e, N
I figured , N
80 Retail , P
Food bank , N
I NOT pani, N
Covid19 no, P
Impact Cov, N
In additio, P
Weve notic, P
Does every, P
New sport , P
Pals VTTed, P
Compliance, N
Covid19 fa, P
Instacart , N
COVID19 FA, N
In COVID19, P
Hands dryi, P
LA friends, P
For newly, P
Is better , P
If grocery, P
COVID 19 D, N
My mom sen, N
Be like gi, P
If arent , P
canada pee, N
We working, P
I SCREWED , N
Hey parent, P
Its 130 m, P
Efforts 2 , P
So accordi, P
I shake he, P
I live alo, P
Yall pani, P
Demand veg, N
As grocery, N
I work 40 , N
All stores, P
Felt bit h, P
email I go, P
Day number, N
My local s, N
Selling fa, P
Overheard , N
Seriously , N
totemranch, N
Quite empt, N
Costco mad, N
BBCNWT wen, P
I love Ind, P
After brea, N
I eat Chin, N
Im convinc, P
This pictu, P
Here A Goo, P
With news , N
SANITIZER , P
selfisolat, P
Just local, P
Hey guys S, P
The fact c, P
I work ret, P
Youve seen, P
Grocery st, N
Russia dro, N
Squares pr, N
Anxiety le, P
Dont get c, N
I LOVE gov, P
Bitches ea, P
With busin, N
One pics a, N
RBC callin, N
How resist, N
Food emerg, N
My country, P
Recently W, P
DuncanBann, P
Empty supe, N
It commitm, P
My local s, P
EVERYONE B, N
Had take h, N
News panic, N
Thanks com, P
Any superm, N
Went super, P
Coranaviru, P
Come time , N
Assholes b, P
Its unfort, N
Rumors mis, N
It 7pm My , P
Video High, P
Is area th, N
Nobody Abs, P
Theres fa, N
grocery st, N
Food bank , N
httpstcozu, N
Has anyone, P
Coronaviru, N
Am I imagi, P
To people , N
People lea, N
lrt knew C, P
Yikes groc, N
Been seein, P
This month, P
If youve , N
Just local, N
If I sneez, N
The psycho, N
Yall tryi, P
There plan, N
We hotline, P
Today moth, P
Airlines g, P
COVID 19 I, N
Businesses, P
We got sev, N
Things Cov, N
Due corona, N
Grocery am, P
I feel for, N
eCommerce , P
For gig ec, P
Empty shel, N
If not fee, P
Just frien, P
USA Americ, N
Off Corona, P
Covid19 st, N
Its really, N
My right w, P
Also Gov B, P
The corona, N
HELLO EVER, P
The first , P
I panic on, N
I work gro, P
The FTC wa, N
COVID19 Wo, N
Im gon na , P
Will Tesco, P
5m selfemp, N
In wake gl, N
Everyone b, N
COVID19 co, P
Some sugge, P
I dont rl, P
Dont panic, P
Remember g, P
When youre, P
Seeing gro, N
common sen, P
We disapp, N
Iran not f, N
The situat, P
Israel 19 , N
Supermarke, P
Low gas pr, N
Supermarke, N
davido Cor, P
Actual pan, N
LIST OF ON, P
Panic bege, N
In pics Sh, N
something , N
With incre, P
Covid19 In, N
It makes s, N
Great pric, P
Brand Mark, P
Lets say , N
Got back g, P
drizzleand, N
The pandem, P
really wei, P
People mas, P
Happy Satu, P
Why everyo, P
SUPERMARKE, N
PSA ON INC, P
Anyone sup, P
Report ret, P
Looking st, P
It wouldn, P
Dear big s, P
mixed Advi, P
Went store, P
In midst p, N
This Thurs, N
Beware cou, N
A consumer, P
Remember m, N
Call Rep a, N
Urgent Woo, N
These unce, P
This best , P
MREs back, P
California, N
Went groce, N
Feeling ba, P
I went gro, P
Theres nee, P
Youd thin, P
Coronaviru, P
While you, P
7NewsSydne, N
How yall , P
Beware onl, N
people moa, N
None fucke, P
Pretty sur, N
With much , P
Thats stud, N
We proud a, P
Can imagin, N
TheCryptoD, N
During tim, P
Think 19 p, N
As people , P
Real Canad, P
Metro Mani, N
6 Despite , N
Queue ente, N
Thinking f, P
Dog amp ca, P
To corpora, P
Just littl, N
They certa, P
This local, P
Doctors A, P
For face c, P
Panic buyi, N
Since I su, P
PH peeps N, P
Have quest, P
My mom cal, N
With every, P
I Forestan, P
COVID19 no, P
sainsburys, P
SkyNews Wh, N
Unless upp, N
Today I we, N
If coronav, P
What hell , N
Well inter, P
Does anyon, P
PM address, N
The GLB Re, P
Trying wee, N
I not deci, P
I bet idio, P
Im gon na, N
Quarantine, P
So awful p, N
PSA Just w, N
Was grocer, P
I work ret, P
Driving gr, P
Be extra c, P
cant find , P
After repo, P
More groce, N
quietplace, P
SRuhle Nor, P
I live Ita, N
Oh irony c, N
Someone pu, N
BBCBreakin, N
Internet p, N
Im back lo, N
Only Turd , N
Ppl waitin, P
A national, N
Kid never , P
Worst time, N
Retail Sto, P
Was buying, N
The parade, P
Airlines P, N
No panic b, N
The UK gov, P
Covid19 ca, N
Everyone h, P
Coronaviru, N
People hig, P
Since coro, P
As Covid19, N
Got back g, N
DeborahMea, N
Stuck insi, N
Im dreadi, P
The real h, P
1 All look, N
I feeling , N
Omg I line, P
Me shit bu, N
BrentJStee, N
A friendly, P
Go shoppin, P
capshun CO, N
Please sto, N
Another th, N
Companies , P
Uhoh Spagh, N
Policymake, N
Ok COVID20, N
With Covid, N
You know s, N
FlattenThe, P
My country, N
CoronaViru, P
Before cor, P
PSA Be nic, P
Shelves lo, P
Lidl total, N
Wondering , N
Our local , N
Covid19 le, P
IMHO Russi, N
Just stood, N
Since Our , P
furlottej , N
Is anyone , N
Watch take, N
Were criti, N
IKatchanov, N
New Podcas, N
Online sho, P
So far 36 , N
business p, N
These post, N
I find iro, N
Food pover, N
CONSUMER C, P
This panic, N
Cant find , P
First time, N
coronaviru, P
So were w, P
So To add , N
With panic, N
gdi need k, P
So want st, P
When brand, P
With selfi, P
Amazon hir, P
cryptorook, N
We really , P
remember n, N
LordSugar , P
Grocery st, N
Can get ta, P
uhaul offe, P
Seriously , N
Thread Ple, P
Tip bagger, N
A grocery , N
For think , P
If youre g, P
Things may, N
btc proven, P
Made weekl, N
Just were, N
The world , N
Everyone r, N
Grocery sh, P
Coronaviru, P
dexcom G6 , P
Due COVID1, P
Bank Canad, P
So US govt, P
I went bou, N
Panic ever, N
Heartfelt , P
Shoutout o, P
Coronaviru, N
THIS Panic, N
UPDATE The, N
What prepa, P
Omg corona, N
small voic, P
If would l, N
With chaos, P
The way wo, P
After many, P
I work gro, P
online sho, N
Ive seen , N
dads kore, P
The 15 tri, P
I dont un, P
COVID19 Ke, N
AHARMumbai, P
I absolute, P
Toilet pap, N
While I do, P
Covid19 up, P
Different , N
Well I fin, P
Meanwhile , N
Waiting li, P
Interestin, P
IAmPhilKes, N
dickssport, N
Plenty med, N
today I ve, P
Just local, P
How woolwo, P
At times l, P
On serious, P
Im Retail , P
Oil prices, N
Plus its , N
Wash hands, P
This selfi, N
Big Thread, P
Sooo NZ 6 , N
As things , P
Thank heal, P
Consumer e, P
SO pround , P
outside ra, N
COVID19 Co, P
Hey morons, N
In every s, N
Word day h, P
Meat aisle, N
Please Not, P
Holy COVID, P
Hi guys If, P
