man I mone, N
Crude Oil , N
@ gtconway, N
Lowering i, N
So college, P
Gym dirty , N
# Covid-19, P
Stock Food, N
I 've # Co, N
Football s, N
It sucks p, P
Well done , N
When , rem, P
Night one , P
Dont take, P
@ iamshafa, N
@ DavieC72, P
We used la, P
@ 20YS @ L, N
Working gr, P
Dont go s, N
Grocery st, N
Consumer #, N
get little, N
prediction, N
This # Cov, N
environmen, P
@ TexasTri, N
Things get, N
Apparently, N
`` We stil, P
These diff, P
Avoid pani, N
At store t, N
Rewe Mitar, P
@ Victori2, N
Airlines :, N
MUST READ , P
Big thanks, N
Saw mother, N
For forese, P
It 's real, N
Striking m, P
Thanks fac, P
Went Costc, P
@ TheLastL, P
# Covid_19, N
I never se, N
Thank good, P
For everyo, P
My story &, P
Headed gro, P
@ RepDougC, P
Whats # t, N
Just stopp, N
The thing , N
The Govern, N
Empty shel, N
What wrong, N
La Habra s, N
The # Coro, N
Local food, P
Heres lis, P
In case wo, N
Shelf isol, N
With curre, N
# CoronaCr, P
Preparing , N
@ CBCTerry, P
Our food s, P
Walmart ad, P
I enlighte, N
Hey , @ cv, N
This Ameri, P
On panic b, N
Dont worr, P
Greed prep, P
The grocer, P
I Grocery , P
So , , I l, N
Canadians , N
14 Day Eme, N
Went groce, N
`` My uncl, N
Ive broke, P
`` Every c, N
? ? THIS J, P
Who else w, N
The superm, P
One way lo, N
Life time , N
Solid advi, P
@ jeffwell, P
In light #, N
@ Tesco @ , P
@ TheLastL, N
Its good , P
Are plans , P
Most frust, P
# Jamaica , N
Hopefully , P
Restaurant, P
I 'm going, N
@ BillyPTS, N
Getting ba, P
South Bay , N
@ SassyCsa, N
Starting t, N
I think ne, P
CDC : Olde, P
The situat, N
Yesterday , N
The many p, N
HI TWITTER, N
# Covid_19, N
Best part , P
Seattle Co, N
@ ksaputoo, P
The basics, N
Remember n, P
1 . A well, P
After Covi, N
Hi @ AEWre, P
As going p, P
Italy lock, P
So mania m, N
@ kslclass, P
Hey ladies, P
Dont unde, P
Wow there, N
The fact a, N
I think 's, P
& amp ; # , N
Such good , P
online sho, P
TOMORROW (, P
@ CP_Numen, N
# C4News S, P
# WhatsYou, N
Citigroup , N
If afford , P
Citizens e, N
@ michelen, P
Also fact , N
The potato, P
So We went, P
DTF-Dont , N
The Corona, N
I work Hom, P
Find prote, P
1/3 How en, P
Found stan, N
Due ongoin, P
If n't fel, N
I returned, N
I feel bad, N
? ? GUYS P, P
As expecte, N
Amid panic, N
You know e, N
sneezed li, P
3h # Norwa, P
As people , N
Local auth, P
When usual, N
More Groce, N
Want suppo, P
Corona : e, N
Report ins, N
Was till c, P
So , final, P
Retail Sto, P
If youre , N
The openin, N
I think # , N
So preside, N
COVID-19 m, P
Fourth sup, N
@ RealJame, P
STILL NEED, N
Ive stockp, N
# Covid_19, N
Lots panic, N
We uploade, P
Supplies ., N
President , N
GAS PRICES, N
Ive read , P
The beginn, N
Data n't l, P
I ca n't b, P
@ dudleymb, P
# CancelEv, P
My wife ca, P
Indig comm, N
@ EPRA_Ke , N
Everyone :, N
After best, P
First time, P
I Italian , P
Selfish wa, N
Increasing, P
In wake sh, N
Please adv, P
Osu cemete, P
@ GovLaura, P
people tru, P
I went gro, N
You ration, N
# COVID 19, P
Dont let , P
based repo, P
Just telly, N
An Indian , N
Me selling, P
After goin, N
Schools ho, N
Now best t, P
People ann, P
* * UPDATE, P
Most Ameri, P
This Wuhan, N
Call repre, N
Watching @, N
If pubs cl, P
finding ha, P
As protect, P
With COVID, P
Last week , N
Your custo, P
Please rem, N
# Coronavi, P
Hey guysss, P
ok , here, P
Dog food a, P
Unbelievab, P
This sad u, N
What @ POT, N
Some # Cor, N
Links info, N
You would , N
No mention, N
Canada 's , N
# US consu, N
I went gro, N
Sri Lankan, N
Thread peo, N
Its not #, N
Even thoug, P
@ realDona, N
Great emai, P
Grocery st, N
Price goug, N
Have trip , P
@ FlippinK, P
@ BBCWorld, N
Just want , P
Im fit we, N
Dryfood 6 , P
Everyone p, P
The I see , N
With pande, P
Let tell #, N
live heavi, N
If 're not, P
# Coronavi, P
Lab-Grown , N
The line g, N
If go loca, P
Trevor , R, P
Times turm, P
I survived, N
Call repre, N
Police ? ?, N
Our SF sto, P
Help keep , P
Seriously , P
A message , P
@ 1a My mo, N
The last t, N
Shout @ Pu, P
With said , N
# coronavi, N
@ silverad, N
Im not re, P
3 . Open Q, N
@ rte @ rt, P
I cashier , N
Covid-19 n, N
Of credit , P
Could ever, P
# Covid_19, P
About walk, P
You know ', P
The # Coro, N
Mass fear, N
snowden He, P
After visi, P
Trudeau No, N
Happy repo, N
Since outb, P
With Gov H, N
FYI We ant, P
Perfect ti, P
In times l, P
Youd thin, N
Anyone els, N
@ CNBC Low, N
Private co, N
Lots empty, N
Walmart CE, P
One BEAUTI, P
In light p, P
The local , N
Dont chas, P
Been one e, N
Went groce, P
Great see , N
Imagine pa, N
PSA : Desp, P
This could, N
An incredi, P
There 's m, P
Capitalist, N
With pubs , N
Me getting, P
Every plac, P
Everyone :, P
Things loc, P
@ Lauras_V, P
Right even, P
To people , N
My 78 year, N
For stockp, P
Wow time c, P
Here would, N
How far I , N
Wow , even, P
Just read , N
Some thoug, N
Well done , N
My superma, P
5 stages C, N
# Covid_19, N
2/ Apparen, N
My region , N
Security g, P
Coronaviru, N
Worried # , P
Lower # Oi, N
@ CMOMahar, P
# Coronavi, P
A small ra, N
1. preprin, P
Oil prices, N
Two differ, N
MY GROCERY, P
The thing , N
Stock pric, P
There meat, N
# coronavi, N
This dange, N
Remember n, P
In continu, P
The Taste , N
`` ... gov, P
CORONAVIRU, N
If wander , P
What 's ha, P
https : //, N
When I wen, N
It saddens, N
Just dont, P
Me : are , P
This good , N
Shoutout g, P
@ MassGove, N
Please ple, P
This thing, P
COVID-19 g, P
Great idea, P
Commodity , N
While prai, P
For toilet, N
My inbox f, N
# Breaking, N
@ dylanist, N
At first ,, N
Thats goo, P
In order l, P
If necessa, P
All online, N
Walking gr, P
Everyone l, P
Bet elderl, N
Anyone rec, N
I havent , N
This groce, N
People pan, P
'T truth #, P
My sister , N
I dont ge, N
# COVID ? , N
Please als, N
# COVID_19, P
Jesus Chri, N
Please ppl, N
Donated @ , P
Seagulls l, P
Take care , P
Tips stayi, P
In serious, P
As push fo, N
Yesterday , N
Looking al, P
Yesterday , P
Media orga, N
This clip , N
At grocery, N
Panic buyi, N
# Coronavi, P
When ur li, N
In current, N
While othe, P
Keys world, P
I 'm pione, P
BE NICE TO, P
Fuel lowes, N
Michigan r, N
Most brand, P
Me : groce, P
In Mid-Ohi, N
Grocery st, P
Europe tra, N
Coronaviru, N
@ Northman, N
I heard so, P
We 've stu, P
My bum bum, N
Fellow Uni, N
More groce, P
Dear Every, P
Noticing l, N
In NO-Surp, N
@ lushcosm, P
While may , P
Imagine 's, P
Me : Im p, N
? ? Tips S, P
If youre , N
To dickhea, P
Is online , P
Voltas 1.5, P
@ iamlaura, P
# IFightCa, P
Or give in, P
@ Stefaniy, N
I concerne, P
No ground , N
Thank peop, N
If think ,, N
This world, N
@ Sadhguru, P
Tips germo, P
When state, N
One not li, N
If big sup, P
Could surv, N
@ ElbaKroo, P
Coronavir, P
Voting age, P
All years , P
Crowds wet, P
Five times, N
News organ, N
Shopping c, N
Half groce, N
Alright y, P
Dont pan, N
What 's cr, N
Pity mille, N
Me online , P
Scenes gro, N
One elderl, N
PSA : Stop, N
Ive never, N
Shoppers s, N
My partner, N
Demand ca, N
How ICT he, P
About walk, P
Good morni, P
Just went , N
Due Corona, P
Missouri A, P
Wala , nak, N
The NY Fed, N
Virus atta, N
BREAKING :, N
Just going, N
The Ontari, N
I believe , N
Reminder :, N
The Corona, P
The worker, P
Supermarke, P
Let clear , P
Went groce, N
@ Reuters , N
Check peop, N
This makes, N
@ Fiona_Ki, P
Just think, N
Quick rant, N
And think , N
As many pr, N
PUBLIC SER, P
Should gro, P
Our latest, N
Wake-up ca, P
Important , P
Food ai n', N
@ GorwayGl, N
I 'm going, P
@ swissepi, P
People gro, P
Wrong atti, N
I work foo, N
The local , N
Hunkering , P
Have talki, N
Fam , you, N
@ GovMikeD, N
These scen, N
How u soci, P
@ realDona, N
The person, P
If forgot , N
And : Onta, P
Only buy f, P
's special, N
I 've neve, N
We many p, P
If # retai, N
No , witch, P
Do n't wal, P
Milan , Qu, N
I 'm getti, P
Let guess , N
My genuine, N
Coronaviru, P
Charging e, P
Skills hig, N
Remarkable, P
? ? ? COVI, P
When someo, N
Legit ... , P
As America, P
Hey , bee , P
Collectivi, P
I woke 5 a, P
Americans , N
Ok , shit , P
Got give l, P
Informatio, P
Why toilet, N
# coronavi, P
Well , eas, N
Empty shel, N
Britain fo, N
Just thoug, P
My neighbo, P
Good see p, P
Food flyin, N
Every stor, N
The way # , P
Just made , N
Let check , N
Wow really, P
Belgium : , N
online sho, P
One thing , N
Long lines, N
Possible #, N
Learn righ, N
No toilet , N
You never , N
panic buyi, N
? like # c, P
Coronaviru, P
There ways, N
PANIC BUYI, N
? Our reta, P
Traders ma, N
Damn . No , N
NEW VLOG !, N
Following , P
If I n't d, N
We 're loo, P
Listening , N
Trump 's c, N
In light C, P
@ DazzyJin, P
grocery st, N
Lineups sm, P
I dont kn, N
Apparently, P
@ 0Calamit, N
# coronavi, P
@ Raymarti, P
Just B & a, N
Nothing de, N
World 's D, N
Attention , P
He using c, N
I went sho, N
Interestin, P
Hey everyo, N
Amazon blo, N
Son in-law, N
We still o, P
I big box , P
If shoppin, N
Ridiculous, N
We tempora, P
List store, P
@ QuickTak, N
There´s pa, N
FAKE # cor, N
# Covid_19, P
Wan na kno, N
I hope # C, N
Or buy gif, P
@ Governor, N
H-E-B prep, P
# coronavi, N
Bless empl, P
Theresa Ma, P
@ Baker_Re, P
Seeing res, N
Sitting co, P
I would li, P
Popped sup, N
Did panic , N
Need way h, P
Stay safe , P
Supermarke, N
# COVID_19, P
WIth # cor, N
US consume, N
March 14th, N
@ onespeed, P
Headline r, P
https : //, N
@ Safeway , N
Instead he, P
Folks pani, N
Went super, N
No beans t, N
How everyb, N
$ SPY GO O, P
Upper mana, P
# Covid_19, N
Another re, P
I understa, P
The Covid-, N
You know I, N
I think Af, P
I understa, P
Im trying, N
Im gon na, N
This not j, P
Ahora segu, P
Hmm think , N
Avoiding O, P
My partner, N
Pls stock , N
Asian Flu , N
The extrao, P
This crazy, N
Wegmans , , N
There 's h, P
police rep, N
I dont kno, N
The econom, P
With news , P
Nothing sa, P
Please unl, P
When 's mu, N
While 're , N
Im scared, P
When I 'm , N
Global cri, N
Worried # , P
You never , N
@ NKdarin , N
Why people, N
I went gro, N
Have stock, N
My mum wen, P
Question ., N
I caregive, P
The amount, N
Are unelec, P
keep class, P
It pretty , P
Overheard , P
Logic 6 ye, N
Onsite Ind, N
COVID-19 U, P
@ JGreenbl, N
If feel ne, N
? In respo, P
Craziness , N
@ MaddowBl, N
Over last , P
# BlackFri, N
@ Google_C, P
Day 1 # co, P
Shares Tur, P
The person, N
Expert Sol, P
Our Dearse, P
The @ food, P
Covid-19 R, P
# coronavi, P
@ alwitchs, P
Unusually , N
In Seattle, P
Informal w, N
lazy peopl, P
hey got so, N
James migh, P
The chemic, P
Decided us, P
As optimis, N
5 . Guard , N
@ Jennifer, P
She contin, P
So , forei, N
Lots peopl, N
Do dad Fac, P
# coronavi, P
I ran fami, N
@ mamafooc, P
# Coronavi, N
At superma, P
# Apple cl, N
@ DaveHari, N
Retail emp, N
The corona, N
The Presch, P
going supe, P
Stop # fre, N
Heres obl, P
I think @ , N
Overheard , N
Score card, N
Looks like, P
SEEKING : , P
All prepar, P
AT TARGET , P
Well deliv, P
Also , don, P
Im not wo, P
The entert, P
First time, P
# Coronavi, P
# stubhub , P
U.S. World, N
We might d, N
COVID-19 U, P
We stock f, N
@ offhandm, P
If youre , N
If someone, N
Surviving , P
Im not di, N
# CoronaVi, P
Mutual aid, P
Just opini, P
Just saw A, P
deliver on, N
I really w, N
When cough, N
As uncerta, N
Kyle : - d, P
@ united I, N
ca n't aff, N
The number, N
During # c, P
Um , favor, P
I think I , N
A message , P
Are potent, P
COVID-19 a, P
You know w, P
Everyone t, P
I rang @ a, P
Forget # p, N
Prices han, P
This utter, N
Ive gotte, P
COVID-19 :, P
# Covid_19, N
Underneath, P
Coronaviru, N
Yesterday , P
90 year ol, N
Amazon Pri, P
@ bigeasy1, N
I work gro, N
Stock Food, P
In COVID-1, P
Its funny , N
Learn righ, N
There peop, N
CoronaViru, P
@ PatBloke, N
The financ, N
To people , P
Could I be, P
Anyone els, N
To rein pa, N
It not cle, P
@ csharp52, N
Back Rome , N
Stores sel, N
@ lauvagra, N
ireland pr, P
Everyone a, P
When shake, P
Women coro, N
It 's iron, P
@ Unkle_K , P
Is world c, N
Getting cr, N
This Id l, N
Please lea, P
Tommorow b, N
NO BREAD ,, N
Those stru, N
People rea, P
News : avo, N
@ AnnCoult, N
When I cou, P
Need medic, P
Overheard , P
I grocery , N
Impacts co, P
Just got b, P
@ lollyscu, N
Woolworths, P
IMPORTANT , P
The media , N
On bright , P
Food banks, N
Grocery st, N
ICYMI : Ap, P
I n't unde, N
Ok # COVID, N
Athens Sto, P
While euro, P
Its munch, P
# Oil pric, N
How Chicag, N
2 stages c, P
This 25+ p, N
Panic city, N
ur able , , N
This Tuesd, N
If needing, P
Ive stock, N
Is effecti, N
`` If n't , N
COVID-19 p, N
# ReduceFo, P
Update : I, N
Just went , P
# Covid_19, N
In times w, N
Hey idiots, N
Britain fo, N
# FridayTh, P
Mass hyste, N
The shorta, N
Morning It, P
Something , N
This reall, N
# 4 . CPG , P
Meanwhile , N
@ Ryanair , P
Check late, P
I wish peo, N
I cant qu, P
Ocado : On, N
Today crow, P
goverment , N
Food thoug, P
Missing ma, P
Please sto, P
@ JohnMagd, N
Did n't th, N
China anno, P
Working su, P
@ RichardB, N
Me dad wan, N
# Canada s, P
Im stuck , P
Are empty , N
A lot big , P
Q1 # earni, N
@ Benny_du, P
I usually , N
First , Tr, N
Important , P
Everywhere, N
# Covid_19, N
My grocery, P
Had elderl, N
You know ,, N
@ x_edenth, N
# CDC urge, N
Panic food, N
How fuck I, N
With stock, N
Stock food, P
It complet, N
Does anyon, P
I 'm total, P
Regina Foo, N
My mum 's , N
Went groce, P
So go game, P
Collected , N
Will onlin, P
@ melissag, P
# panickbu, N
@ narendra, P
@ piersmor, N
@ realDona, P
My current, P
My # Sunda, N
@ geniebou, P
People hoa, N
Remember l, P
In @ KGeor, P
Supermarke, P
Overheard , P
Dear # HAL, P
Make sure , P
coronaviru, P
Dont forg, N
# sriLanka, N
There lot , N
# Coronavi, P
@ The_Ddot, P
2/3 There , P
Check I fo, P
Hey pals !, N
Keep eye b, P
@ British_, P
@ MoHFW_IN, P
I grocery , P
The hit in, P
H-E-B prep, P
A pandemic, P
# PSA # Co, P
Jakarta de, N
Now @ Gove, N
Walking su, P
Be lookout, N
Food secti, P
Amazon del, N
Update : I, N
Stock food, P
I think go, N
A grown 40, P
An elderly, N
Anyone com, N
For self i, P
THIS toile, N
Can not pa, N
Pls mindfu, N
* Rap Beat, N
My partner, P
Just thoug, N
@ Channel9, P
And food p, P
As joke , , N
Italy Spai, P
What hallm, P
@ dunkie_c, N
Hope nobod, P
The econom, N
It 's insa, N
I went sup, N
Being An A, N
ANYONE , I, N
Someone el, P
The empty , N
Shame hoar, N
This # cor, N
I work lar, N
Most focus, N
COVID-19 l, P
Tennessee , P
Please sto, P
Empty shel, N
Met member, N
The corona, N
The awful , P
What PPC m, P
@ eugenegu, N
STAYING HO, P
Boomers : , P
@ CDCgov @, N
I kinda un, N
One month , P
Out shoppi, N
Call repre, N
What Covid, N
Coming bac, P
Everyone b, P
When I sta, P
I happy re, P
Malaysia #, P
La Habra s, N
LOOK : Sho, N
We working, P
better # t, P
Call Senat, N
@ BernardK, N
@ tjricky , N
In difficu, N
How stock , N
In # Mexic, P
I hope gra, P
The people, P
Its Satur, P
Schools : , P
Why Republ, N
Please sto, P
In light c, P
covid-19 r, N
@ JeremyVi, P
Went groce, N
We shoulda, P
Should U.K, P
# coronapo, P
Me shoppin, N
# bsyediyu, P
COVID-19 n, P
James Moor, P
Funny side, P
Stock snac, N
Americans , P
Raise hand, P
NEWS ALERT, P
That 's fi, P
I done got, N
# Coronavi, P
Are intere, P
@ AsdaServ, P
@ Sylveste, P
Food Other, P
STOP KILLI, N
Another da, N
I 'm not p, N
My husband, N
Almost par, N
@ sergioav, N
Having ext, N
People sto, N
City Las P, P
The compan, P
Free onlin, P
Meanwhile , P
`` ... inf, P
@ ShopprsD, N
Co , ro , , N
This time , P
@ Reuters , N
PICK UP A , P
Facts : 1., N
The # coro, N
If anyone , N
neighbor m, P
Ensure sto, N
ok I know , N
Fucking pe, N
Much neede, N
For us who, P
You know I, N
Gas prices, N
If see ad , N
Toilet pap, N
A friend m, P
Food n't i, P
The last t, N
With event, P
We n't nee, P
House pric, N
Between pr, N
Thats wra, P
So I went , N
How Retail, N
# Coronavi, N
Really con, N
@ dcislama, P
Everyone g, P
The line 1, N
@ bbcnews , P
So govt tr, P
Spent firs, P
@ NewsProJ, N
We may foo, N
This good , P
If extra u, P
If Canadia, N
This panic, P
Maybe # co, P
Good time , P
Its begun, P
@ SenatorL, N
After work, N
Its 11pm K, P
@ pwcdanic, N
When herd , N
Listening , N
The one st, N
The chaos , N
@ phineash, N
Companies , P
The tensio, N
DEMAND FOR, N
# AirSewa , P
The insigh, P
I need sta, N
Scenes gro, P
Why toilet, P
Anyone els, P
Keep away , N
@ Second_S, P
Remember O, P
@ BriSmith, P
